task_id,variant,model,pass,intentional_error,error_mode,rubric_dims,rubric_mean_w,rubric_count,fail_reason,gen_latency_ms,pytest_ms,seed,timestamp
HumanEval/107,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,drop_edge_cases,"['correctness', 'correctness', 'correctness', 'readability', 'edge_cases', 'edge_cases', 'efficiency', 'efficiency', 'robustness', 'security', 'docstring', 'comments', 'type_hints']",0.618,13,1 error in 0.18s,1303,1302,42,2025-12-01 08:43:32
HumanEval/108,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,wrong_loop,"['correctness', 'readability', 'edge_cases', 'comments', 'correctness', 'correctness', 'efficiency', 'robustness', 'robustness', 'security', 'docstring', 'comments', 'comments']",0.58,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:43:41
HumanEval/109,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'efficiency', 'robustness', 'efficiency', 'docstring', 'docstring', 'comments', 'comments']",0.609,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:43:55
HumanEval/11,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'comments', 'edge_cases', 'correctness', 'correctness', 'edge_cases', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'comments', 'comments']",0.611,13,,1102,1102,42,2025-12-01 08:44:03
HumanEval/110,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'comments', 'readability', 'correctness', 'correctness', 'edge_cases', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'comments', 'docstring']",0.57,13,,1102,1102,42,2025-12-01 08:44:18
HumanEval/111,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'correctness', 'correctness', 'edge_cases', 'readability', 'efficiency', 'robustness', 'efficiency', 'security', 'docstring', 'comments', 'type_hints']",0.61,13,1 error in 0.11s,1202,1202,42,2025-12-01 08:44:30
HumanEval/112,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'correctness', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'comments', 'comments']",0.614,13,,1103,1102,42,2025-12-01 08:44:39
HumanEval/113,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,type_cast_trap,"['correctness', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'correctness', 'efficiency', 'robustness', 'robustness', 'docstring', 'docstring', 'comments', 'type_hints']",0.623,13,1 error in 0.11s,1202,1202,42,2025-12-01 08:44:49
HumanEval/114,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,wrong_loop,"['correctness', 'correctness', 'comments', 'correctness', 'correctness', 'edge_cases', 'efficiency', 'robustness', 'robustness', 'robustness', 'docstring', 'comments', 'comments']",0.59,13,,1103,1102,42,2025-12-01 08:44:58
HumanEval/115,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,force_print_return,"['correctness', 'correctness', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'efficiency', 'robustness', 'security', 'efficiency', 'docstring', 'type_hints', 'docstring']",0.568,13,1 error in 0.16s,1202,1202,42,2025-12-01 08:45:07
HumanEval/116,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,off_by_one,"['correctness', 'comments', 'correctness', 'edge_cases', 'edge_cases', 'correctness', 'efficiency', 'security', 'security', 'efficiency', 'docstring']",0.619,11,1 failed in 0.04s,1102,1102,42,2025-12-01 08:45:16
HumanEval/117,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'comments', 'correctness', 'correctness', 'readability', 'efficiency', 'docstring', 'robustness', 'efficiency', 'docstring', 'comments', 'docstring']",0.538,13,1 failed in 0.04s,1103,1102,42,2025-12-01 08:45:28
HumanEval/118,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,drop_edge_cases,"['correctness', 'correctness', 'correctness', 'edge_cases', 'readability', 'readability', 'efficiency', 'efficiency', 'robustness', 'security', 'docstring', 'type_hints', 'comments']",0.587,13,1 error in 0.16s,1202,1201,42,2025-12-01 08:45:38
HumanEval/119,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,rename_function,"['correctness', 'correctness', 'correctness', 'correctness', 'edge_cases', 'correctness', 'efficiency', 'efficiency', 'robustness', 'security']",0.759,10,1 failed in 0.04s,1102,1102,42,2025-12-01 08:45:47
HumanEval/12,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'edge_cases', 'readability', 'readability', 'correctness', 'correctness', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'comments', 'comments']",0.543,13,1 error in 0.11s,1202,1202,42,2025-12-01 08:45:55
HumanEval/120,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'edge_cases', 'correctness', 'correctness', 'edge_cases', 'efficiency', 'docstring', 'docstring', 'robustness', 'docstring', 'comments', 'docstring']",0.613,13,1 failed in 0.04s,1102,1101,42,2025-12-01 08:46:10
HumanEval/121,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'correctness', 'edge_cases', 'correctness', 'correctness', 'correctness', 'efficiency', 'security', 'robustness', 'security', 'docstring', 'comments', 'docstring']",0.598,13,,1102,1102,42,2025-12-01 08:46:20
HumanEval/122,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'readability', 'correctness', 'readability', 'correctness', 'edge_cases', 'efficiency', 'security', 'efficiency', 'robustness', 'docstring', 'comments', 'comments']",0.6,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:46:30
HumanEval/123,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,rename_function,"['correctness', 'correctness', 'readability', 'readability', 'comments', 'edge_cases', 'efficiency', 'efficiency', 'robustness', 'efficiency', 'docstring', 'comments', 'comments']",0.442,13,1 error in 0.16s,1202,1202,42,2025-12-01 08:46:39
HumanEval/124,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'readability', 'correctness', 'correctness', 'correctness', 'efficiency', 'robustness', 'security', 'efficiency', 'docstring', 'comments', 'docstring']",0.608,13,1 failed in 0.05s,1103,1102,42,2025-12-01 08:46:54
HumanEval/125,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,drop_edge_cases,"['correctness', 'correctness', 'correctness', 'readability', 'edge_cases', 'readability', 'efficiency', 'docstring', 'robustness', 'docstring', 'docstring', 'comments', 'docstring']",0.563,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:47:04
HumanEval/126,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'comments', 'correctness', 'readability', 'correctness', 'correctness', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'comments', 'comments']",0.55,13,1 failed in 0.04s,1102,1101,42,2025-12-01 08:47:10
HumanEval/127,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'readability', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'efficiency', 'robustness', 'efficiency', 'security', 'docstring', 'comments', 'docstring']",0.638,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:47:27
HumanEval/128,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,remove_docstring,"['correctness', 'correctness', 'edge_cases', 'correctness', 'edge_cases', 'edge_cases', 'efficiency', 'robustness', 'robustness', 'security', 'docstring', 'comments']",0.68,12,1 failed in 0.04s,1102,1102,42,2025-12-01 08:47:36
HumanEval/129,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'readability', 'efficiency', 'robustness', 'security', 'efficiency', 'docstring', 'comments', 'type_hints']",0.593,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:47:46
HumanEval/13,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'readability', 'correctness', 'edge_cases', 'readability', 'correctness', 'efficiency', 'efficiency', 'docstring', 'docstring', 'docstring', 'type_hints', 'type_hints']",0.547,13,,1103,1102,42,2025-12-01 08:47:57
HumanEval/130,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,off_by_one,"['correctness', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'correctness', 'efficiency', 'docstring', 'security', 'robustness', 'docstring', 'type_hints', 'comments']",0.618,13,1 error in 0.16s,1202,1202,42,2025-12-01 08:48:06
HumanEval/131,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'comments', 'correctness', 'edge_cases', 'readability', 'efficiency', 'security', 'robustness', 'security', 'docstring', 'comments', 'docstring']",0.522,13,1 error in 0.11s,1202,1202,42,2025-12-01 08:48:19
HumanEval/132,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'correctness', 'readability', 'edge_cases', 'edge_cases', 'efficiency', 'robustness', 'security', 'robustness', 'docstring', 'comments', 'comments']",0.601,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:48:28
HumanEval/133,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,type_cast_trap,"['correctness', 'correctness', 'correctness', 'readability', 'correctness', 'readability', 'efficiency', 'efficiency', 'robustness', 'robustness', 'docstring', 'comments', 'docstring']",0.585,13,1 failed in 0.04s,1102,1101,42,2025-12-01 08:48:36
HumanEval/134,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,wrong_loop,"['correctness', 'correctness', 'correctness', 'comments', 'correctness', 'correctness', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'docstring', 'comments']",0.557,13,1 error in 0.16s,1203,1202,42,2025-12-01 08:48:46
HumanEval/135,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'edge_cases', 'comments', 'correctness', 'edge_cases', 'correctness', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'comments', 'comments']",0.558,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:48:59
HumanEval/136,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,no_return,"['correctness', 'correctness', 'correctness', 'correctness', 'readability', 'edge_cases', 'efficiency', 'robustness', 'docstring', 'type_hints', 'docstring', 'comments', 'type_hints']",0.618,13,1 error in 0.16s,1202,1202,42,2025-12-01 08:49:08
HumanEval/137,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,remove_docstring,"['correctness', 'correctness', 'edge_cases', 'edge_cases', 'correctness', 'correctness', 'efficiency', 'security', 'robustness', 'efficiency', 'docstring', 'comments', 'docstring']",0.59,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:49:17
HumanEval/138,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,drop_edge_cases,"['correctness', 'correctness', 'correctness', 'edge_cases', 'readability', 'comments', 'efficiency', 'efficiency', 'robustness', 'efficiency', 'docstring']",0.672,11,1 failed in 0.04s,1102,1102,42,2025-12-01 08:49:26
HumanEval/139,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'correctness', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'efficiency', 'robustness', 'efficiency', 'security', 'docstring', 'comments', 'docstring']",0.638,13,,1102,1102,42,2025-12-01 08:49:36
HumanEval/14,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,type_cast_trap,"['correctness', 'correctness', 'correctness', 'readability', 'edge_cases', 'comments', 'efficiency', 'docstring', 'robustness', 'efficiency', 'docstring', 'comments', 'docstring']",0.524,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:49:44
HumanEval/140,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'comments', 'comments']",0.672,13,1 failed in 0.04s,1103,1102,42,2025-12-01 08:49:52
HumanEval/141,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'correctness', 'readability', 'edge_cases', 'edge_cases', 'efficiency', 'robustness', 'security', 'docstring', 'docstring', 'comments', 'comments']",0.575,13,1 failed in 0.05s,1102,1102,42,2025-12-01 08:50:08
HumanEval/142,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'edge_cases', 'edge_cases', 'correctness', 'edge_cases', 'comments', 'efficiency', 'robustness', 'docstring', 'security', 'docstring', 'comments', 'docstring']",0.505,13,1 error in 0.16s,1202,1202,42,2025-12-01 08:50:24
HumanEval/143,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'readability', 'correctness', 'correctness', 'correctness', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'comments', 'docstring']",0.608,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:50:38
HumanEval/144,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'edge_cases', 'correctness', 'comments', 'correctness', 'readability', 'efficiency', 'robustness', 'security', 'docstring', 'docstring', 'comments', 'type_hints']",0.523,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:50:46
HumanEval/145,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,remove_docstring,"['correctness', 'correctness', 'correctness', 'edge_cases', 'comments', 'edge_cases', 'efficiency', 'security', 'robustness', 'docstring', 'docstring', 'comments', 'comments']",0.584,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:50:56
HumanEval/146,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'correctness', 'edge_cases', 'correctness', 'edge_cases', 'correctness', 'efficiency', 'docstring', 'robustness', 'security', 'docstring', 'docstring', 'comments']",0.598,13,,1102,1102,42,2025-12-01 08:51:10
HumanEval/147,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'edge_cases', 'readability', 'readability', 'correctness', 'efficiency', 'robustness', 'efficiency', 'security', 'docstring', 'docstring', 'type_hints']",0.582,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:51:24
HumanEval/148,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'readability', 'comments', 'comments', 'correctness', 'correctness', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'comments', 'docstring']",0.542,13,1 failed in 0.04s,1103,1102,42,2025-12-01 08:51:43
HumanEval/149,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'correctness', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'efficiency', 'docstring', 'docstring', 'security', 'docstring', 'comments', 'type_hints']",0.606,13,,1102,1102,42,2025-12-01 08:51:55
HumanEval/15,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,force_print_return,"['correctness', 'edge_cases', 'edge_cases', 'correctness', 'correctness', 'correctness', 'efficiency', 'type_hints', 'efficiency', 'robustness', 'docstring']",0.658,11,,1102,1102,42,2025-12-01 08:52:02
HumanEval/150,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'readability', 'correctness', 'readability', 'correctness', 'edge_cases', 'efficiency', 'robustness', 'docstring', 'efficiency', 'docstring', 'docstring', 'type_hints']",0.555,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:52:11
HumanEval/151,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,drop_edge_cases,"['correctness', 'edge_cases', 'comments', 'comments', 'correctness', 'correctness', 'efficiency', 'robustness', 'robustness', 'security', 'docstring', 'docstring', 'comments']",0.524,13,1 error in 0.16s,1203,1202,42,2025-12-01 08:52:20
HumanEval/152,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'correctness', 'correctness', 'edge_cases', 'readability', 'readability', 'efficiency', 'docstring', 'efficiency', 'robustness', 'docstring', 'comments', 'docstring']",0.582,13,,1102,1102,42,2025-12-01 08:52:37
HumanEval/153,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'readability', 'comments', 'edge_cases', 'correctness', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'type_hints', 'type_hints']",0.555,13,1 error in 0.11s,1202,1202,42,2025-12-01 08:52:47
HumanEval/154,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,drop_edge_cases,"['correctness', 'correctness', 'readability', 'correctness', 'comments', 'edge_cases', 'efficiency', 'efficiency', 'security', 'robustness']",0.689,10,1 failed in 0.04s,1102,1102,42,2025-12-01 08:52:57
HumanEval/155,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,no_return,"['correctness', 'correctness', 'comments', 'edge_cases', 'comments', 'correctness', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'comments', 'docstring']",0.544,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:53:06
HumanEval/156,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,no_return,"['correctness', 'comments', 'correctness', 'readability', 'readability', 'correctness', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'comments', 'comments']",0.541,13,1 error in 0.16s,1202,1202,42,2025-12-01 08:53:15
HumanEval/157,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'correctness', 'edge_cases', 'comments', 'correctness', 'readability', 'efficiency', 'robustness', 'security', 'docstring', 'docstring', 'comments', 'comments']",0.571,13,,1102,1102,42,2025-12-01 08:53:27
HumanEval/158,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'readability', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'efficiency', 'robustness', 'type_hints', 'security', 'docstring', 'comments', 'docstring']",0.613,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:53:37
HumanEval/159,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'readability', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'efficiency', 'docstring', 'robustness', 'docstring', 'docstring', 'comments', 'docstring']",0.537,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:53:51
HumanEval/16,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,no_return,"['correctness', 'readability', 'edge_cases', 'edge_cases', 'correctness', 'correctness', 'efficiency', 'security', 'robustness', 'type_hints', 'docstring', 'type_hints', 'comments']",0.584,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:53:58
HumanEval/160,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,remove_docstring,"['correctness', 'correctness', 'readability', 'comments', 'correctness', 'correctness', 'efficiency', 'security', 'robustness', 'security', 'docstring', 'comments', 'docstring']",0.536,13,1 error in 0.16s,1202,1202,42,2025-12-01 08:54:08
HumanEval/161,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'edge_cases', 'efficiency', 'robustness', 'security', 'docstring', 'docstring', 'comments', 'comments']",0.63,13,1 failed in 0.04s,1102,1101,42,2025-12-01 08:54:19
HumanEval/162,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,rename_function,"['correctness', 'correctness', 'comments', 'correctness', 'edge_cases', 'readability', 'efficiency', 'robustness', 'security', 'efficiency', 'docstring', 'docstring', 'type_hints']",0.558,13,1 error in 0.16s,1203,1202,42,2025-12-01 08:54:29
HumanEval/163,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'readability', 'correctness', 'correctness', 'readability', 'comments', 'efficiency', 'docstring', 'efficiency', 'robustness', 'docstring', 'comments', 'type_hints']",0.512,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:54:40
HumanEval/17,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'edge_cases', 'efficiency', 'robustness', 'docstring', 'security', 'docstring', 'comments', 'docstring']",0.655,13,1 error in 0.11s,1202,1202,42,2025-12-01 08:54:52
HumanEval/18,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'readability', 'correctness', 'correctness', 'correctness', 'correctness', 'efficiency', 'robustness', 'security', 'efficiency', 'docstring', 'comments', 'docstring']",0.615,13,,1102,1101,42,2025-12-01 08:54:58
HumanEval/19,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,rename_function,"['correctness', 'correctness', 'readability', 'correctness', 'correctness', 'edge_cases', 'efficiency', 'robustness', 'robustness', 'efficiency']",0.748,10,1 failed in 0.04s,1102,1101,42,2025-12-01 08:55:07
HumanEval/2,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'correctness', 'correctness', 'readability', 'edge_cases', 'correctness', 'efficiency', 'security', 'robustness', 'security', 'docstring', 'comments', 'comments']",0.571,13,,1102,1102,42,2025-12-01 08:55:15
HumanEval/20,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,remove_docstring,"['correctness', 'correctness', 'correctness', 'readability', 'edge_cases', 'readability', 'efficiency', 'robustness', 'efficiency', 'security', 'docstring', 'comments', 'docstring']",0.591,13,1 error in 0.11s,1202,1202,42,2025-12-01 08:55:24
HumanEval/21,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'correctness', 'edge_cases', 'edge_cases', 'correctness', 'readability', 'efficiency', 'robustness', 'efficiency', 'security', 'docstring', 'comments', 'docstring']",0.632,13,,1102,1101,42,2025-12-01 08:55:33
HumanEval/22,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'edge_cases', 'correctness', 'readability', 'correctness', 'readability', 'efficiency', 'robustness', 'type_hints', 'type_hints', 'docstring', 'comments', 'type_hints']",0.478,13,,1102,1102,42,2025-12-01 08:55:41
HumanEval/23,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,rename_function,"['correctness', 'correctness', 'comments', 'correctness', 'edge_cases', 'edge_cases', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'comments', 'docstring']",0.59,13,,1102,1101,42,2025-12-01 08:55:49
