task_id,model,variant,seed,regime,p_fail,primary_pass,final_pass,adb_calls,ecnn_calls,adb_variant_used,rubric_bullets,gen_latency_ms,pytest_ms_primary,pytest_ms_repair,prompt_chars,prompt_tokens_est,temperature_used,max_new_tokens_used,detail
HumanEval/109,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9990589799162525,0,0,1,1,ecnn_adb,13,9020,1202,0,2601.0,365.0,0.30000000000000004,320,"SyntaxError: invalid syntax (<unknown>, line 33)"
HumanEval/11,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9913627140275846,1,1,0,0,none,13,5825,1102,0,1595.0,223.0,0.30000000000000004,320,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/110,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9967261367095475,0,0,1,1,ecnn_adb,13,8848,1202,0,2015.0,293.0,0.30000000000000004,320,"SyntaxError: expected ':' (<unknown>, line 25)"
HumanEval/111,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9949486787093625,0,0,1,1,ecnn_adb,13,8124,1101,1101,1835.0,259.0,0.30000000000000004,320," {'a': 2, 'b': 2}
E         
E         Left contains 1 more item:
E         {' ': 3}
E         Right contains 2 more items:
E         {'a': 2, 'b': 2}
E         Use -v to get more diff

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: This prints if this asser...
1 failed in 0.04s"
HumanEval/112,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9960768800731702,0,0,1,1,ecnn_adb,13,3655,1102,1102,1934.0,281.0,0.30000000000000004,320,"te(""abcde"",""ae"") == ('bcd',False)
E       AssertionError: assert (False, 'bcd') == ('bcd', False)
E         
E         At index 0 diff: False != 'bcd'
E         Use -v to get more diff

test_solution.py:8: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert (False, 'bcd') == ...
1 failed in 0.04s"
HumanEval/113,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.995974824178129,0,0,1,1,ecnn_adb,13,7454,1102,1101,1926.0,278.0,0.30000000000000004,320," the 4nput.']
E         
E         At index 0 diff: 'the number of odd elements 4n the str1ng 1 of the 1nput.' != 'the number of odd elements 4n the str4ng 4 of the 4nput.'
E         Use -v to get more diff

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: Test 1
1 failed in 0.04s"
HumanEval/114,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9906872829469827,1,1,0,0,none,13,4451,1102,0,1572.0,214.0,0.30000000000000004,320,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/115,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9984505905086782,0,0,1,1,ecnn_adb,13,9005,1202,1202,2392.0,327.0,0.30000000000000004,320,"olution.py:1: in <module>
    def max_fill(grid: List[List[int]], capacity: int) -> int:
                       ^^^^
E   NameError: name 'List' is not defined
=========================== short test summary info ============================
ERROR test_solution.py - NameError: name 'List' is not defined
!!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!
1 error in 0.11s"
HumanEval/116,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9946430611008313,0,0,1,1,ecnn_adb,13,8773,1102,1101,1798.0,259.0,0.30000000000000004,320," _ _ _ _ _ _ _ 

x = 1

>   sorted_arr = sorted(arr, key=lambda x: (ones_count[x], x))
                                            ^^^^^^^^^^^^^
E   TypeError: 'set' object is not subscriptable

solution.py:15: TypeError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - TypeError: 'set' object is not subscriptable
1 failed in 0.04s"
HumanEval/117,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9967319673459263,0,0,1,1,ecnn_adb,13,8816,1101,1102,2038.0,285.0,0.30000000000000004,320,"le lamb"", 4))
E       AssertionError: First test error: None
E       assert None == ['little']
E        +  where None = <function select_words at 0x7f0633391300>('Mary had a little lamb', 4)

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: First test error: None
1 failed in 0.04s"
HumanEval/118,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9954151617905875,0,0,1,1,ecnn_adb,13,3837,1101,1102,1907.0,255.0,0.30000000000000004,320,"wel at 0x7805c6809300>

    def check(candidate):
    
        # Check some simple cases
>       assert candidate(""yogurt"") == ""u""
E       AssertionError: assert '' == 'u'
E         
E         - u

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert '' == 'u'
1 failed in 0.04s"
HumanEval/119,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9963678935020674,0,0,1,1,ecnn_adb,13,7641,1102,1101,1977.0,283.0,0.30000000000000004,320," check(candidate):
    
        # Check some simple cases
>       assert candidate(['()(', ')']) == 'Yes'
E       AssertionError: assert 'No' == 'Yes'
E         
E         - Yes
E         + No

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert 'No' == 'Yes'
1 failed in 0.04s"
HumanEval/12,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9931864985796446,1,1,0,0,none,13,4180,1102,0,1712.0,235.0,0.30000000000000004,320,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/120,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9963515283257286,0,0,1,1,ecnn_adb,13,7241,1102,1102,1955.0,290.0,0.30000000000000004,320,"some simple cases
>       assert candidate([-3, -4, 5], 3) == [-4, -3, 5]
E       assert [5, -3, -4] == [-4, -3, 5]
E         
E         At index 0 diff: 5 != -4
E         Use -v to get more diff

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert [5, -3, -4] == [-4, -3, 5]
1 failed in 0.04s"
HumanEval/121,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.991434593004635,1,1,0,0,none,13,5574,1102,0,1603.0,222.0,0.30000000000000004,320,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/122,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9935148812682489,0,0,1,1,ecnn_adb,13,6385,1102,1101,1724.0,242.0,0.30000000000000004,320,"[1,-2,-3,41,57,76,87,88,99], 3) == -4
>       assert candidate([111,121,3,4000,5,6], 2) == 0
E       assert 232 == 0
E        +  where 232 = <function add_elements at 0x785b5c4d5300>([111, 121, 3, 4000, 5, 6], 2)

test_solution.py:10: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert 232 == 0
1 failed in 0.04s"
HumanEval/123,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9977772971631501,0,0,1,1,ecnn_adb,13,8769,1101,1101,2179.0,322.0,0.30000000000000004,320,"ert candidate(14) == [1, 5, 7, 11, 13, 17]
E       assert [3, 7, 15, 21, 31, 43] == [1, 5, 7, 11, 13, 17]
E         
E         At index 0 diff: 3 != 1
E         Use -v to get more diff

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert [3, 7, 15, 21, 31, 43] == [1, 5, 7...
1 failed in 0.04s"
HumanEval/124,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9977569931152299,1,1,0,0,none,13,8143,1102,0,2187.0,317.0,0.30000000000000004,320,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/125,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9947222608565749,0,0,1,1,ecnn_adb,13,8129,1101,1102,1832.0,250.0,0.30000000000000004,320,"""Hello"",""world!""]
E       AssertionError: assert [] == ['Hello', 'world!']
E         
E         Right contains 2 more items, first extra item: 'Hello'
E         Use -v to get more diff

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert [] == ['Hello', 'w...
1 failed in 0.04s"
HumanEval/126,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9959020776685304,0,0,1,1,ecnn_adb,13,1393,1102,1102,1912.0,279.0,0.30000000000000004,320,"sertionError: This prints if this assert fails 5 (good for debugging!)
E       assert True == False
E        +  where True = <function is_sorted at 0x784c91f55300>([1, 2, 2, 2, 3, 4])

test_solution.py:20: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: This prints if this asser...
1 failed in 0.04s"
HumanEval/127,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9980608352852096,0,0,1,1,ecnn_adb,13,8971,1101,1101,2262.0,323.0,0.30000000000000004,320,"some simple cases
>       assert candidate((1, 2), (2, 3)) == ""NO""
E       AssertionError: assert None == 'NO'
E        +  where None = <function intersection at 0x7f1f2e3b9300>((1, 2), (2, 3))

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert None == 'NO'
1 failed in 0.04s"
HumanEval/128,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9935324706655789,1,1,0,0,none,13,5428,1102,0,1723.0,243.0,0.30000000000000004,320,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/129,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9993914576786667,0,0,1,1,ecnn_adb,13,8936,1202,0,2702.0,428.0,0.30000000000000004,320,"SyntaxError: unterminated triple-quoted string literal (detected at line 23) (<unknown>, line 2)"
HumanEval/13,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.990151262223129,1,1,0,0,none,13,2633,1102,0,1553.0,208.0,0.30000000000000004,320,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/130,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9968881192446766,0,0,1,1,ecnn_adb,13,8653,1101,1102,2014.0,305.0,0.30000000000000004,320," assert [3, 3, 3, 3, 3, 3] == [1, 3, 2.0, 8.0]
E         
E         At index 0 diff: 3 != 1
E         Left contains 2 more items, first extra item: 3
E         Use -v to get more diff

test_solution.py:10: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert [3, 3, 3, 3, 3, 3] == [1, 3, 2.0, ...
1 failed in 0.04s"
HumanEval/131,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9903011977982397,1,1,0,0,none,13,8650,1101,0,1549.0,213.0,0.30000000000000004,320,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/132,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9943526712158456,0,0,1,1,ecnn_adb,13,5158,1102,1102,1814.0,241.0,0.30000000000000004,320,"idate('[]]]]]]][[[[[]') == False
>       assert candidate('[][]') == False
E       AssertionError: assert True == False
E        +  where True = <function is_nested at 0x7cdcc8af5300>('[][]')

test_solution.py:11: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert True == False
1 failed in 0.04s"
HumanEval/133,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9947085218285473,0,0,1,1,ecnn_adb,13,9049,1202,1101,1803.0,260.0,0.30000000000000004,320,"E       AssertionError: This prints if this assert fails 1 (good for debugging!)
E       assert 17 == 29
E        +  where 17 = <function sum_squares at 0x782caf2f11c0>([1.4, 4.2, 0])

test_solution.py:12: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: This prints if this asser...
1 failed in 0.04s"
HumanEval/134,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9947396395652779,0,0,1,1,ecnn_adb,13,7864,1101,1102,1856.0,242.0,0.30000000000000004,320,"mple cases
>       assert candidate(""apple"") == False
E       AssertionError: assert True == False
E        +  where True = <function check_if_last_char_is_a_letter at 0x78fda79793a0>('apple')

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert True == False
1 failed in 0.04s"
HumanEval/135,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9928700840000199,0,0,1,1,ecnn_adb,13,6449,1102,1102,1697.0,230.0,0.30000000000000004,320,"e9300>

    def check(candidate):
    
        # Check some simple cases
>       assert candidate([1,2,4,3,5])==3
E       assert 4 == 3
E        +  where 4 = <function can_arrange at 0x79ff363e9300>([1, 2, 4, 3, 5])

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert 4 == 3
1 failed in 0.04s"
HumanEval/136,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9942599500455914,0,0,1,1,ecnn_adb,13,6192,1101,1101,1801.0,242.0,0.30000000000000004,320," some simple cases
>       assert candidate([2, 4, 1, 3, 5, 7]) == (None, 1)
E       assert (-inf, 1) == (None, 1)
E         
E         At index 0 diff: -inf != None
E         Use -v to get more diff

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert (-inf, 1) == (None, 1)
1 failed in 0.04s"
HumanEval/137,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9943093297201693,0,0,1,1,ecnn_adb,13,7503,1101,1101,1790.0,248.0,0.30000000000000004,320,"e:
                return None
        elif isinstance(a, (int, float)):
>           if a > b:
               ^^^^^
E           TypeError: '>' not supported between instances of 'int' and 'str'

solution.py:24: TypeError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - TypeError: '>' not supported between inst...
1 failed in 0.04s"
HumanEval/138,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9909742811676565,0,0,1,1,ecnn_adb,13,8928,1201,1102,1600.0,211.0,0.30000000000000004,320,"ert candidate(6) == False
        assert candidate(8) == True
>       assert candidate(10) == True
E       assert False == True
E        +  where False = <function is_equal_to_sum_even at 0x7952dc591300>(10)

test_solution.py:10: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert False == True
1 failed in 0.04s"
HumanEval/139,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9923196348447076,0,0,1,1,ecnn_adb,13,4144,1102,1102,1661.0,226.0,0.30000000000000004,320,"esult = 1
        for i in range(1, n + 1):
>           result *= math.factorial(i)
                      ^^^^
E           NameError: name 'math' is not defined. Did you forget to import 'math'

solution.py:18: NameError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - NameError: name 'math' is not defined. Di...
1 failed in 0.04s"
HumanEval/14,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9900850422334866,0,0,1,1,ecnn_adb,13,2146,1102,1202,1546.0,209.0,0.30000000000000004,320,"solution.py:1: in <module>
    def all_prefixes(string: str) -> List[str]:
                                     ^^^^
E   NameError: name 'List' is not defined
=========================== short test summary info ============================
ERROR test_solution.py - NameError: name 'List' is not defined
!!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!
1 error in 0.11s"
HumanEval/140,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9931820636250475,0,0,1,1,ecnn_adb,13,3965,1102,1102,1728.0,229.0,0.30000000000000004,320," debugging!)
E       assert 'Mudasir Hanif ' == 'Mudasir_Hanif_'
E         
E         - Mudasir_Hanif_
E         ?        ^     ^
E         + Mudasir Hanif 
E         ?        ^     ^

test_solution.py:10: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: This prints if this asser...
1 failed in 0.04s"
HumanEval/141,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9974461369766686,0,0,1,1,ecnn_adb,13,9004,1202,0,2141.0,304.0,0.30000000000000004,320,"SyntaxError: expected an indented block after 'if' statement on line 28 (<unknown>, line 28)"
HumanEval/142,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9963092665565794,0,0,1,1,ecnn_adb,13,8991,1101,1101,1945.0,291.0,0.30000000000000004,320,"cf91440>

    def check(candidate):
    
        # Check some simple cases
    
>       assert candidate([1,2,3]) == 6
E       assert 1 == 6
E        +  where 1 = <function sum_squares at 0x78e08cf91440>([1, 2, 3])

test_solution.py:10: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert 1 == 6
1 failed in 0.04s"
HumanEval/143,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9961762730282502,0,0,1,1,ecnn_adb,13,9007,1202,0,1972.0,273.0,0.30000000000000004,320,"SyntaxError: '(' was never closed (<unknown>, line 43)"
HumanEval/144,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9957871289640995,0,0,1,1,ecnn_adb,13,8960,1102,1102,1922.0,269.0,0.30000000000000004,320,"merator and the denominator by their greatest common divisor
>       gcd = math.gcd(num, denom)
              ^^^^
E       NameError: name 'math' is not defined. Did you forget to import 'math'

solution.py:26: NameError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - NameError: name 'math' is not defined. Di...
1 failed in 0.04s"
HumanEval/145,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9938038243340191,0,0,1,1,ecnn_adb,13,6959,1102,1102,1750.0,243.0,0.30000000000000004,320," custom key
>       sorted_nums = sorted(nums, key=sum(int(digit) for digit in str(x)))
                                                                       ^
E       NameError: name 'x' is not defined

solution.py:16: NameError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - NameError: name 'x' is not defined
1 failed in 0.04s"
HumanEval/146,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9931614486589359,0,0,1,1,ecnn_adb,13,5659,1101,1102,1696.0,240.0,0.30000000000000004,320,"  assert candidate([15, -73, 14, -15]) == 1
>       assert candidate([33, -2, -3, 45, 21, 109]) == 2
E       assert 1 == 2
E        +  where 1 = <function specialFilter at 0x78fa135a93a0>([33, -2, -3, 45, 21, 109])

test_solution.py:11: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert 1 == 2
1 failed in 0.04s"
HumanEval/147,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9950701332084171,0,0,1,1,ecnn_adb,13,8568,1102,1102,1812.0,273.0,0.30000000000000004,320,"

candidate = <function get_max_triples at 0x7d57f88bd1c0>

    def check(candidate):
    
>       assert candidate(5) == 1
E       assert 4 == 1
E        +  where 4 = <function get_max_triples at 0x7d57f88bd1c0>(5)

test_solution.py:8: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert 4 == 1
1 failed in 0.04s"
HumanEval/148,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9971404754613262,0,0,1,1,ecnn_adb,13,9008,1202,0,2111.0,289.0,0.30000000000000004,320,"SyntaxError: expected an indented block after 'if' statement on line 25 (<unknown>, line 25)"
HumanEval/149,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9973254826441701,1,1,0,0,none,13,7189,1102,0,2112.0,304.0,0.30000000000000004,320,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/15,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9903171053706795,0,0,1,1,ecnn_adb,13,4776,1101,1101,1561.0,209.0,0.30000000000000004,320,"andidate):
        assert candidate(0) == '0'
>       assert candidate(3) == '0 1 2 3'
E       AssertionError: assert '0123' == '0 1 2 3'
E         
E         - 0 1 2 3
E         + 0123

test_solution.py:16: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert '0123' == '0 1 2 3'
1 failed in 0.04s"
HumanEval/150,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9911033914312308,1,1,0,0,none,13,5792,1101,0,1579.0,222.0,0.30000000000000004,320,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/151,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9940890411944905,0,0,1,1,ecnn_adb,13,4538,1102,1102,1777.0,244.0,0.30000000000000004,320,"sertionError: This prints if this assert fails 5 (also good for debugging!)
E       assert 1 == 0
E        +  where 1 = <function double_the_difference at 0x7d4e0d50d300>([-1, -2, 8])

test_solution.py:16: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: This prints if this asser...
1 failed in 0.04s"
HumanEval/152,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9973087928034126,1,1,0,0,none,13,8740,1102,0,2130.0,296.0,0.30000000000000004,320,".                                                                        [100%]
1 passed in 0.01s"
