task_id,variant,seed,pass,error_type,fail_reason,gen_latency_ms,exec_latency_ms,tokens_in,tokens_out,timestamp
HumanEval/114,baseline,2,0,Other,1 failed in 0.04s,1102,1102,26.0,64.0,2025-12-01 09:32:24
HumanEval/115,baseline,2,0,Other,1 error in 0.16s,1202,1202,113.0,89.0,2025-12-01 09:32:32
HumanEval/116,baseline,2,0,Other,1 error in 0.16s,1202,1202,60.0,99.0,2025-12-01 09:32:40
HumanEval/117,baseline,2,0,Other,1 error in 0.16s,1202,1202,80.0,119.0,2025-12-01 09:32:48
HumanEval/118,baseline,2,0,Other,1 failed in 0.04s,1102,1102,57.0,40.0,2025-12-01 09:32:53
HumanEval/119,baseline,2,0,Other,1 error in 0.16s,1202,1202,79.0,110.0,2025-12-01 09:33:01
HumanEval/12,baseline,2,1,Other,,1102,1102,42.0,58.0,2025-12-01 09:33:06
HumanEval/120,baseline,2,0,Other,1 error in 0.16s,1202,1202,85.0,102.0,2025-12-01 09:33:14
HumanEval/121,baseline,2,1,Other,,1102,1102,32.0,81.0,2025-12-01 09:33:21
HumanEval/122,baseline,2,0,Other,1 error in 0.16s,1202,1202,48.0,74.0,2025-12-01 09:33:29
HumanEval/123,baseline,2,0,Other,1 error in 0.16s,1202,1202,109.0,122.0,2025-12-01 09:33:38
HumanEval/124,baseline,2,0,Other,1 error in 0.17s,1202,1202,105.0,103.0,2025-12-01 09:33:46
HumanEval/125,baseline,2,0,Other,1 error in 0.16s,1202,1202,54.0,112.0,2025-12-01 09:33:54
HumanEval/126,baseline,2,0,Other,1 error in 0.16s,1202,1203,76.0,83.0,2025-12-01 09:34:02
HumanEval/127,baseline,2,0,Other,1 error in 0.16s,1302,1302,109.0,113.0,2025-12-01 09:34:11
HumanEval/128,baseline,2,1,Other,,1101,1102,48.0,81.0,2025-12-01 09:34:19
HumanEval/129,baseline,2,0,Other,1 failed in 0.04s,1102,1102,191.0,67.0,2025-12-01 09:34:25
HumanEval/13,baseline,2,1,Other,,1102,1102,21.0,30.0,2025-12-01 09:34:29
HumanEval/130,baseline,2,0,Other,1 error in 0.16s,1202,1202,96.0,107.0,2025-12-01 09:34:37
HumanEval/131,baseline,2,1,Other,,1102,1102,25.0,52.0,2025-12-01 09:34:42
HumanEval/132,baseline,2,0,Other,1 error in 0.16s,1202,1202,47.0,92.0,2025-12-01 09:34:50
HumanEval/133,baseline,2,1,Other,,1102,1102,61.0,69.0,2025-12-01 09:34:57
HumanEval/134,baseline,2,0,Other,1 error in 0.16s,1202,1202,47.0,103.0,2025-12-01 09:35:06
HumanEval/135,baseline,2,0,Other,1 failed in 0.04s,1102,1102,38.0,86.0,2025-12-01 09:35:12
HumanEval/136,baseline,2,0,Other,1 error in 0.16s,1202,1203,47.0,98.0,2025-12-01 09:35:20
HumanEval/137,baseline,2,0,Other,1 failed in 0.04s,1102,1102,52.0,75.0,2025-12-01 09:35:28
HumanEval/138,baseline,2,0,Other,1 error in 0.16s,1202,1202,23.0,99.0,2025-12-01 09:35:36
HumanEval/139,baseline,2,0,Other,1 failed in 0.04s,1102,1102,35.0,47.0,2025-12-01 09:35:41
HumanEval/14,baseline,2,0,Other,1 failed in 0.04s,1102,1102,22.0,26.0,2025-12-01 09:35:44
HumanEval/140,baseline,2,1,Other,,1102,1102,37.0,56.0,2025-12-01 09:35:49
HumanEval/141,baseline,2,0,Other,1 error in 0.17s,1202,1202,95.0,107.0,2025-12-01 09:35:57
HumanEval/142,baseline,2,0,Other,1 error in 0.16s,1202,1202,85.0,132.0,2025-12-01 09:36:06
HumanEval/143,baseline,2,0,Other,1 error in 0.16s,1202,1202,71.0,125.0,2025-12-01 09:36:14
HumanEval/144,baseline,2,1,Other,,1102,1102,68.0,36.0,2025-12-01 09:36:19
HumanEval/145,baseline,2,0,Other,1 error in 0.11s,1202,1202,48.0,81.0,2025-12-01 09:36:26
HumanEval/146,baseline,2,1,Other,,1102,1102,46.0,71.0,2025-12-01 09:36:34
HumanEval/147,baseline,2,0,Other,1 error in 0.16s,1202,1203,71.0,118.0,2025-12-01 09:36:43
HumanEval/148,baseline,2,0,Other,1 error in 0.16s,1202,1202,83.0,102.0,2025-12-01 09:36:51
HumanEval/149,baseline,2,0,Other,1 error in 0.16s,1202,1202,95.0,129.0,2025-12-01 09:36:59
HumanEval/15,baseline,2,0,Other,1 failed in 0.04s,1102,1102,23.0,28.0,2025-12-01 09:37:05
HumanEval/150,baseline,2,1,Other,,1101,1102,32.0,95.0,2025-12-01 09:37:13
HumanEval/151,baseline,2,0,Other,1 failed in 0.04s,1102,1102,49.0,66.0,2025-12-01 09:37:19
HumanEval/152,baseline,2,0,Other,1 error in 0.16s,1202,1202,89.0,103.0,2025-12-01 09:37:27
HumanEval/153,baseline,2,0,Other,1 error in 0.16s,1202,1202,119.0,119.0,2025-12-01 09:37:35
HumanEval/154,baseline,2,0,Other,1 failed in 0.04s,1102,1102,37.0,77.0,2025-12-01 09:37:43
HumanEval/155,baseline,2,0,Other,1 error in 0.16s,1202,1202,21.0,105.0,2025-12-01 09:37:51
HumanEval/156,baseline,2,0,Other,1 error in 0.17s,1202,1203,30.0,76.0,2025-12-01 09:37:59
HumanEval/157,baseline,2,0,Other,1 error in 0.16s,1202,1202,42.0,97.0,2025-12-01 09:38:08
HumanEval/158,baseline,2,1,Other,,1102,1102,45.0,110.0,2025-12-01 09:38:16
HumanEval/159,baseline,2,0,Other,1 error in 0.16s,1202,1202,124.0,113.0,2025-12-01 09:38:24
HumanEval/16,baseline,2,1,Other,,1101,1102,22.0,51.0,2025-12-01 09:38:30
HumanEval/160,baseline,2,0,Other,1 error in 0.16s,1302,1302,100.0,129.0,2025-12-01 09:38:38
HumanEval/161,baseline,2,1,Other,,1102,1102,43.0,71.0,2025-12-01 09:38:46
HumanEval/162,baseline,2,1,Other,,1102,1102,20.0,27.0,2025-12-01 09:38:52
HumanEval/163,baseline,2,0,Other,1 failed in 0.05s,1102,1102,33.0,82.0,2025-12-01 09:39:00
HumanEval/17,baseline,2,0,Other,1 error in 0.16s,1202,1202,73.0,116.0,2025-12-01 09:39:08
HumanEval/18,baseline,2,1,Other,,1102,1102,29.0,47.0,2025-12-01 09:39:13
HumanEval/19,baseline,2,0,Other,1 error in 0.16s,1202,1202,40.0,96.0,2025-12-01 09:39:21
HumanEval/2,baseline,2,1,Other,,1102,1102,34.0,56.0,2025-12-01 09:39:26
HumanEval/20,baseline,2,0,Other,1 error in 0.16s,1202,1202,47.0,86.0,2025-12-01 09:39:34
HumanEval/21,baseline,2,1,Other,,1102,1102,39.0,72.0,2025-12-01 09:39:41
HumanEval/22,baseline,2,1,Other,,1102,1103,28.0,35.0,2025-12-01 09:39:45
HumanEval/23,baseline,2,1,Other,,1102,1102,13.0,15.0,2025-12-01 09:39:47
HumanEval/24,baseline,2,1,Other,,1101,1102,19.0,71.0,2025-12-01 09:39:53
HumanEval/25,baseline,2,1,Other,,1102,1102,53.0,100.0,2025-12-01 09:40:01
HumanEval/26,baseline,2,1,Other,,1102,1102,33.0,72.0,2025-12-01 09:40:07
HumanEval/27,baseline,2,0,Other,1 failed in 0.04s,1102,1102,17.0,25.0,2025-12-01 09:40:10
HumanEval/28,baseline,2,1,Other,,1102,1102,20.0,22.0,2025-12-01 09:40:12
HumanEval/29,baseline,2,1,Other,,1101,1102,30.0,36.0,2025-12-01 09:40:16
HumanEval/3,baseline,2,1,Other,,1102,1102,53.0,66.0,2025-12-01 09:40:21
HumanEval/30,baseline,2,1,Other,,1101,1102,29.0,42.0,2025-12-01 09:40:26
HumanEval/31,baseline,2,1,Other,,1101,1102,26.0,69.0,2025-12-01 09:40:33
HumanEval/32,baseline,2,0,Other,1 error in 0.15s,1302,1302,100.0,99.0,2025-12-01 09:40:41
HumanEval/33,baseline,2,0,Other,1 error in 0.16s,1202,1202,59.0,106.0,2025-12-01 09:40:49
HumanEval/34,baseline,2,1,Other,,1102,1102,20.0,28.0,2025-12-01 09:40:52
HumanEval/35,baseline,2,1,Other,,1101,1102,21.0,29.0,2025-12-01 09:40:56
HumanEval/36,baseline,2,1,Other,,1102,1102,26.0,50.0,2025-12-01 09:41:01
HumanEval/37,baseline,2,0,Other,1 failed in 0.04s,1102,1102,47.0,100.0,2025-12-01 09:41:09
HumanEval/38,baseline,2,0,Other,1 error in 0.16s,1202,1202,66.0,111.0,2025-12-01 09:41:17
HumanEval/39,baseline,2,0,Other,1 error in 0.16s,1201,1202,25.0,88.0,2025-12-01 09:41:25
HumanEval/4,baseline,2,0,Other,1 error in 0.16s,1202,1202,46.0,84.0,2025-12-01 09:41:33
HumanEval/40,baseline,2,1,Other,,1102,1102,47.0,77.0,2025-12-01 09:41:41
HumanEval/41,baseline,2,0,Other,1 error in 0.16s,1202,1202,82.0,124.0,2025-12-01 09:41:49
HumanEval/42,baseline,2,0,Other,1 error in 0.15s,1202,1202,28.0,84.0,2025-12-01 09:41:57
HumanEval/43,baseline,2,1,Other,,1102,1102,46.0,64.0,2025-12-01 09:42:03
HumanEval/44,baseline,2,1,Other,,1102,1102,29.0,60.0,2025-12-01 09:42:10
HumanEval/45,baseline,2,0,Other,1 failed in 0.04s,1102,1102,15.0,40.0,2025-12-01 09:42:14
HumanEval/46,baseline,2,0,Other,1 error in 0.16s,1202,1202,53.0,86.0,2025-12-01 09:42:22
HumanEval/47,baseline,2,1,Other,,1102,1102,20.0,75.0,2025-12-01 09:42:30
HumanEval/48,baseline,2,1,Other,,1101,1102,18.0,46.0,2025-12-01 09:42:36
HumanEval/49,baseline,2,0,Other,1 failed in 0.04s,1101,1102,26.0,79.0,2025-12-01 09:42:44
HumanEval/5,baseline,2,1,Other,,1102,1102,30.0,43.0,2025-12-01 09:42:49
HumanEval/50,baseline,2,0,Other,1 failed in 0.05s,1101,1102,36.0,46.0,2025-12-01 09:42:53
HumanEval/51,baseline,2,1,Other,,1102,1102,26.0,49.0,2025-12-01 09:43:01
HumanEval/52,baseline,2,1,Other,,1102,1102,25.0,36.0,2025-12-01 09:43:05
HumanEval/53,baseline,2,1,Other,,1102,1102,15.0,19.0,2025-12-01 09:43:08
HumanEval/54,baseline,2,1,Other,,1102,1102,29.0,33.0,2025-12-01 09:43:15
HumanEval/55,baseline,2,1,Other,,1101,1102,13.0,39.0,2025-12-01 09:43:19
HumanEval/56,baseline,2,1,Other,,1102,1102,27.0,69.0,2025-12-01 09:43:26
HumanEval/57,baseline,2,1,Other,,1102,1102,24.0,50.0,2025-12-01 09:43:31
HumanEval/58,baseline,2,1,Other,,1101,1102,31.0,69.0,2025-12-01 09:43:39
HumanEval/59,baseline,2,0,Other,1 failed in 0.04s,1102,1102,19.0,53.0,2025-12-01 09:43:46
HumanEval/6,baseline,2,0,Other,1 error in 0.15s,1202,1202,46.0,115.0,2025-12-01 09:43:54
HumanEval/60,baseline,2,1,Other,,1101,1102,23.0,26.0,2025-12-01 09:43:59
HumanEval/61,baseline,2,1,Other,,1101,1102,27.0,66.0,2025-12-01 09:44:07
HumanEval/62,baseline,2,1,Other,,1102,1102,36.0,46.0,2025-12-01 09:44:14
HumanEval/63,baseline,2,0,Other,1 error in 0.17s,1202,1202,46.0,93.0,2025-12-01 09:44:22
HumanEval/64,baseline,2,0,Other,1 error in 0.16s,1202,1202,52.0,109.0,2025-12-01 09:44:31
HumanEval/65,baseline,2,0,Other,1 failed in 0.04s,1101,1102,32.0,86.0,2025-12-01 09:44:39
HumanEval/66,baseline,2,1,Other,,1102,1102,33.0,39.0,2025-12-01 09:44:43
HumanEval/67,baseline,2,0,Other,1 error in 0.16s,1202,1202,99.0,118.0,2025-12-01 09:44:52
HumanEval/68,baseline,2,0,Other,1 error in 0.16s,1202,1202,138.0,116.0,2025-12-01 09:45:00
HumanEval/69,baseline,2,0,Other,1 error in 0.17s,1202,1202,66.0,119.0,2025-12-01 09:45:08
HumanEval/7,baseline,2,1,Other,,1102,1102,29.0,37.0,2025-12-01 09:45:12
HumanEval/70,baseline,2,1,Other,,1101,1102,43.0,98.0,2025-12-01 09:45:20
HumanEval/71,baseline,2,1,Other,,1102,1102,52.0,111.0,2025-12-01 09:45:28
HumanEval/72,baseline,2,0,Other,1 error in 0.16s,1202,1202,90.0,106.0,2025-12-01 09:45:36
HumanEval/73,baseline,2,1,Other,,1102,1102,56.0,92.0,2025-12-01 09:45:44
HumanEval/74,baseline,2,0,Other,1 error in 0.16s,1202,1202,67.0,96.0,2025-12-01 09:45:52
HumanEval/75,baseline,2,0,Other,1 failed in 0.04s,1102,1102,31.0,113.0,2025-12-01 09:46:00
HumanEval/76,baseline,2,0,Other,1 error in 0.16s,1202,1202,49.0,103.0,2025-12-01 09:46:08
HumanEval/77,baseline,2,1,Other,,1102,1102,40.0,55.0,2025-12-01 09:46:13
HumanEval/78,baseline,2,0,Other,1 error in 0.16s,1202,1202,126.0,109.0,2025-12-01 09:46:22
HumanEval/79,baseline,2,0,Other,1 error in 0.16s,1202,1202,63.0,101.0,2025-12-01 09:46:30
HumanEval/8,baseline,2,1,Other,,1102,1102,47.0,76.0,2025-12-01 09:46:37
HumanEval/80,baseline,2,0,Other,1 failed in 0.04s,1101,1102,45.0,80.0,2025-12-01 09:46:45
HumanEval/81,baseline,2,0,Other,1 error in 0.16s,1202,1202,97.0,97.0,2025-12-01 09:46:53
HumanEval/82,baseline,2,1,Other,,1102,1102,28.0,82.0,2025-12-01 09:47:00
HumanEval/83,baseline,2,0,Other,1 failed in 0.04s,1102,1102,19.0,84.0,2025-12-01 09:47:09
HumanEval/84,baseline,2,1,Other,,1102,1102,62.0,116.0,2025-12-01 09:47:16
HumanEval/85,baseline,2,1,Other,,1102,1102,19.0,60.0,2025-12-01 09:47:23
HumanEval/86,baseline,2,0,Other,1 failed in 0.04s,1101,1102,58.0,106.0,2025-12-01 09:47:31
HumanEval/87,baseline,2,0,Other,1 error in 0.16s,1202,1202,89.0,91.0,2025-12-01 09:47:39
HumanEval/88,baseline,2,0,Other,1 error in 0.17s,1302,1302,78.0,105.0,2025-12-01 09:47:47
HumanEval/89,baseline,2,0,Other,1 error in 0.16s,1202,1203,44.0,112.0,2025-12-01 09:47:55
HumanEval/9,baseline,2,1,Other,,1101,1102,36.0,55.0,2025-12-01 09:48:01
HumanEval/90,baseline,2,1,Other,,1102,1102,40.0,90.0,2025-12-01 09:48:08
HumanEval/91,baseline,2,0,Other,1 failed in 0.04s,1102,1102,46.0,89.0,2025-12-01 09:48:16
HumanEval/92,baseline,2,1,Other,,1101,1102,46.0,90.0,2025-12-01 09:48:23
HumanEval/93,baseline,2,0,Other,1 error in 0.16s,1202,1202,46.0,99.0,2025-12-01 09:48:31
HumanEval/94,baseline,2,0,Other,1 error in 0.16s,1202,1202,61.0,46.0,2025-12-01 09:48:39
HumanEval/95,baseline,2,0,Other,1 failed in 0.04s,1102,1102,53.0,70.0,2025-12-01 09:48:47
HumanEval/96,baseline,2,0,Other,1 error in 0.16s,1202,1202,36.0,86.0,2025-12-01 09:48:55
HumanEval/97,baseline,2,1,Other,,1102,1102,34.0,57.0,2025-12-01 09:49:01
HumanEval/98,baseline,2,1,Other,,1102,1102,21.0,71.0,2025-12-01 09:49:09
HumanEval/99,baseline,2,0,Other,1 error in 0.16s,1202,1202,63.0,106.0,2025-12-01 09:49:17
