task_id,model,variant,source_tag,is_synthetic,pass_flag,error_family,raw_error
HumanEval/65,,baseline,baseline_s1,0,0,unknown,1 failed in 0.04s
HumanEval/66,,baseline,baseline_s1,0,1,pass,
HumanEval/67,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/68,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.17s
HumanEval/69,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.17s
HumanEval/7,,baseline,baseline_s1,0,1,pass,
HumanEval/70,,baseline,baseline_s1,0,1,pass,
HumanEval/71,,baseline,baseline_s1,0,1,pass,
HumanEval/72,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/73,,baseline,baseline_s1,0,1,pass,
HumanEval/74,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/75,,baseline,baseline_s1,0,0,unknown,1 failed in 0.04s
HumanEval/76,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/77,,baseline,baseline_s1,0,1,pass,
HumanEval/78,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/79,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/8,,baseline,baseline_s1,0,1,pass,
HumanEval/80,,baseline,baseline_s1,0,0,unknown,1 failed in 0.04s
HumanEval/81,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.17s
HumanEval/82,,baseline,baseline_s1,0,1,pass,
HumanEval/83,,baseline,baseline_s1,0,0,unknown,1 failed in 0.04s
HumanEval/84,,baseline,baseline_s1,0,1,pass,
HumanEval/85,,baseline,baseline_s1,0,1,pass,
HumanEval/86,,baseline,baseline_s1,0,0,unknown,1 failed in 0.04s
HumanEval/87,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/88,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/89,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/9,,baseline,baseline_s1,0,1,pass,
HumanEval/90,,baseline,baseline_s1,0,1,pass,
HumanEval/91,,baseline,baseline_s1,0,0,unknown,1 failed in 0.04s
HumanEval/92,,baseline,baseline_s1,0,1,pass,
HumanEval/93,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/94,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/95,,baseline,baseline_s1,0,0,unknown,1 failed in 0.04s
HumanEval/96,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/97,,baseline,baseline_s1,0,1,pass,
HumanEval/98,,baseline,baseline_s1,0,1,pass,
HumanEval/99,,baseline,baseline_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/0,,baseline,baseline_s2,0,1,pass,
HumanEval/1,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/10,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/100,,baseline,baseline_s2,0,0,timeout,TimeoutError: Execution exceeded limit
HumanEval/101,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/102,,baseline,baseline_s2,0,1,pass,
HumanEval/103,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/104,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/105,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/106,,baseline,baseline_s2,0,1,pass,
HumanEval/107,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.17s
HumanEval/108,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/109,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/11,,baseline,baseline_s2,0,1,pass,
HumanEval/110,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/111,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/112,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/113,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/114,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/115,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/116,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/117,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/118,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/119,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/12,,baseline,baseline_s2,0,1,pass,
HumanEval/120,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/121,,baseline,baseline_s2,0,1,pass,
HumanEval/122,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/123,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/124,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.17s
HumanEval/125,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/126,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/127,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/128,,baseline,baseline_s2,0,1,pass,
HumanEval/129,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/13,,baseline,baseline_s2,0,1,pass,
HumanEval/130,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/131,,baseline,baseline_s2,0,1,pass,
HumanEval/132,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/133,,baseline,baseline_s2,0,1,pass,
HumanEval/134,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/135,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/136,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/137,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/138,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/139,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/14,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/140,,baseline,baseline_s2,0,1,pass,
HumanEval/141,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.17s
HumanEval/142,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/143,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/144,,baseline,baseline_s2,0,1,pass,
HumanEval/145,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.11s
HumanEval/146,,baseline,baseline_s2,0,1,pass,
HumanEval/147,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/148,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/149,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/15,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/150,,baseline,baseline_s2,0,1,pass,
HumanEval/151,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/152,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/153,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/154,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/155,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/156,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.17s
HumanEval/157,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/158,,baseline,baseline_s2,0,1,pass,
HumanEval/159,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/16,,baseline,baseline_s2,0,1,pass,
HumanEval/160,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/161,,baseline,baseline_s2,0,1,pass,
HumanEval/162,,baseline,baseline_s2,0,1,pass,
HumanEval/163,,baseline,baseline_s2,0,0,unknown,1 failed in 0.05s
HumanEval/17,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/18,,baseline,baseline_s2,0,1,pass,
HumanEval/19,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/2,,baseline,baseline_s2,0,1,pass,
HumanEval/20,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/21,,baseline,baseline_s2,0,1,pass,
HumanEval/22,,baseline,baseline_s2,0,1,pass,
HumanEval/23,,baseline,baseline_s2,0,1,pass,
HumanEval/24,,baseline,baseline_s2,0,1,pass,
HumanEval/25,,baseline,baseline_s2,0,1,pass,
HumanEval/26,,baseline,baseline_s2,0,1,pass,
HumanEval/27,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/28,,baseline,baseline_s2,0,1,pass,
HumanEval/29,,baseline,baseline_s2,0,1,pass,
HumanEval/3,,baseline,baseline_s2,0,1,pass,
HumanEval/30,,baseline,baseline_s2,0,1,pass,
HumanEval/31,,baseline,baseline_s2,0,1,pass,
HumanEval/32,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.15s
HumanEval/33,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/34,,baseline,baseline_s2,0,1,pass,
HumanEval/35,,baseline,baseline_s2,0,1,pass,
HumanEval/36,,baseline,baseline_s2,0,1,pass,
HumanEval/37,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/38,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/39,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/4,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/40,,baseline,baseline_s2,0,1,pass,
HumanEval/41,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/42,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.15s
HumanEval/43,,baseline,baseline_s2,0,1,pass,
HumanEval/44,,baseline,baseline_s2,0,1,pass,
HumanEval/45,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/46,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/47,,baseline,baseline_s2,0,1,pass,
HumanEval/48,,baseline,baseline_s2,0,1,pass,
HumanEval/49,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/5,,baseline,baseline_s2,0,1,pass,
HumanEval/50,,baseline,baseline_s2,0,0,unknown,1 failed in 0.05s
HumanEval/51,,baseline,baseline_s2,0,1,pass,
HumanEval/52,,baseline,baseline_s2,0,1,pass,
HumanEval/53,,baseline,baseline_s2,0,1,pass,
HumanEval/54,,baseline,baseline_s2,0,1,pass,
HumanEval/55,,baseline,baseline_s2,0,1,pass,
HumanEval/56,,baseline,baseline_s2,0,1,pass,
HumanEval/57,,baseline,baseline_s2,0,1,pass,
HumanEval/58,,baseline,baseline_s2,0,1,pass,
HumanEval/59,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/6,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.15s
HumanEval/60,,baseline,baseline_s2,0,1,pass,
HumanEval/61,,baseline,baseline_s2,0,1,pass,
HumanEval/62,,baseline,baseline_s2,0,1,pass,
HumanEval/63,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.17s
HumanEval/64,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/65,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/66,,baseline,baseline_s2,0,1,pass,
HumanEval/67,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/68,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/69,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.17s
HumanEval/7,,baseline,baseline_s2,0,1,pass,
HumanEval/70,,baseline,baseline_s2,0,1,pass,
HumanEval/71,,baseline,baseline_s2,0,1,pass,
HumanEval/72,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/73,,baseline,baseline_s2,0,1,pass,
HumanEval/74,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/75,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/76,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/77,,baseline,baseline_s2,0,1,pass,
HumanEval/78,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/79,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/8,,baseline,baseline_s2,0,1,pass,
HumanEval/80,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/81,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/82,,baseline,baseline_s2,0,1,pass,
HumanEval/83,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/84,,baseline,baseline_s2,0,1,pass,
HumanEval/85,,baseline,baseline_s2,0,1,pass,
HumanEval/86,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/87,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/88,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.17s
HumanEval/89,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/9,,baseline,baseline_s2,0,1,pass,
HumanEval/90,,baseline,baseline_s2,0,1,pass,
HumanEval/91,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/92,,baseline,baseline_s2,0,1,pass,
HumanEval/93,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/94,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/95,,baseline,baseline_s2,0,0,unknown,1 failed in 0.04s
HumanEval/96,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/97,,baseline,baseline_s2,0,1,pass,
HumanEval/98,,baseline,baseline_s2,0,1,pass,
HumanEval/99,,baseline,baseline_s2,0,0,runtime_other,1 error in 0.16s
HumanEval/0,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.17s
HumanEval/1,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/10,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.17s
HumanEval/100,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/101,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/102,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,1,pass,
HumanEval/103,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,unknown,1 failed in 0.04s
HumanEval/104,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/105,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/106,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/107,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.17s
HumanEval/108,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/109,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/11,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/110,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/111,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.11s
HumanEval/112,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,1,pass,
HumanEval/113,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/114,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,1,pass,
HumanEval/115,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/116,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/117,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/118,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/119,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,unknown,1 failed in 0.04s
HumanEval/12,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.15s
HumanEval/120,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,unknown,1 failed in 0.04s
HumanEval/121,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/122,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/123,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/124,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/125,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,unknown,1 failed in 0.04s
HumanEval/126,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/127,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/128,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.16s
HumanEval/129,Qwen/Qwen2.5-Coder-0.5B-Instruct,baseline_primitive,primitive_s1,0,0,runtime_other,1 error in 0.11s
