task_id,variant,model,pass,attempts,fail_family,repair_latency_ms,tokens_in,tokens_out,ts
HumanEval/89,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,11428,44.0,0.0,2025-12-01 10:17:43
HumanEval/9,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,8381,36.0,0.0,2025-12-01 10:17:51
HumanEval/91,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,18973,46.0,93.0,2025-12-01 10:18:10
HumanEval/92,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,10254,46.0,0.0,2025-12-01 10:18:20
HumanEval/93,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,19635,46.0,86.0,2025-12-01 10:18:40
HumanEval/94,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,25967,61.0,59.0,2025-12-01 10:19:06
HumanEval/95,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,21144,53.0,78.0,2025-12-01 10:19:27
HumanEval/96,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,18943,36.0,63.0,2025-12-01 10:19:46
HumanEval/99,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,22548,63.0,113.0,2025-12-01 10:20:09
HumanEval/0,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:20:21
HumanEval/1,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:20:25
HumanEval/104,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:20:30
HumanEval/105,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:20:33
HumanEval/11,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:20:37
HumanEval/110,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:20:40
HumanEval/112,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:20:43
HumanEval/114,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:20:46
HumanEval/121,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:20:49
HumanEval/13,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:20:52
HumanEval/139,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:20:55
HumanEval/146,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:20:58
HumanEval/149,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:01
HumanEval/15,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:05
HumanEval/152,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:08
HumanEval/157,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:11
HumanEval/18,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:14
HumanEval/2,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:17
HumanEval/21,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:20
HumanEval/22,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:23
HumanEval/23,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:26
HumanEval/26,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:30
HumanEval/28,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:33
HumanEval/29,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:36
HumanEval/3,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:39
HumanEval/30,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:42
HumanEval/31,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:45
HumanEval/34,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:48
HumanEval/35,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:51
HumanEval/4,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:55
HumanEval/42,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:21:58
HumanEval/43,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:01
HumanEval/44,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:04
HumanEval/47,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:07
HumanEval/48,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:10
HumanEval/53,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:13
HumanEval/54,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:17
HumanEval/58,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:20
HumanEval/66,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:23
HumanEval/7,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:26
HumanEval/70,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:29
HumanEval/72,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:33
HumanEval/80,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:37
HumanEval/82,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:40
HumanEval/84,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:43
HumanEval/85,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:46
HumanEval/90,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:49
HumanEval/97,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:52
HumanEval/98,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,0,0.0,0.0,2025-12-01 10:22:55
